Condominio,Tamanho,Quartos,Banheiros,Suites,Vagas,Elevador,Mobiliado,Piscina,Novo,Regiao,Valor,Ano
587,50,2,2,1,1,Sim,Nao,Nao,Nao,Centro,1400.0,2000
510,61,2,2,1,1,Nao,Nao,Nao,Nao,Centro,1200.0,2000
300,35,1,2,1,1,Sim,Nao,Nao,Nao,Centro,1400.0,2004
125,110,2,2,1,1,Nao,Nao,Nao,Nao,Centro,1500.0,2004
800,52,2,2,1,1,Sim,Sim,Sim,Nao,Centro,3500.0,2019
522,50,2,2,1,1,Sim,Nao,Nao,Nao,Centro,1850.0,2009
0,32,1,2,1,1,Nao,Nao,Nao,Nao,Centro,1500.0,2002
700,80,1,2,1,1,Sim,Nao,Nao,Nao,Centro,1250.0,2005
280,36,1,2,1,1,Nao,Nao,Nao,Nao,Centro,1200.0,1999
1123,160,3,7,3,3,Nao,Nao,Sim,Nao,Centro,4000.0,2017
1300,120,3,2,1,2,Nao,Nao,Sim,Nao,Centro,2500.0,2008
900,75,2,2,1,1,Nao,Nao,Nao,Nao,Centro,1400.0,2004
950,139,3,2,1,1,Sim,Nao,Nao,Nao,Centro,2900.0,2015
450,62,1,2,1,1,Sim,Sim,Nao,Nao,Centro,1600.0,2004
574,79,2,2,1,2,Sim,Nao,Nao,Nao,Centro,4400.0,2016
570,70,2,2,1,1,Nao,Nao,Nao,Nao,Centro,1500.0,2002
300,32,1,2,1,1,Nao,Nao,Nao,Nao,Centro,1400.0,2002
350,36,1,2,1,1,Nao,Sim,Nao,Nao,Centro,1650.0,2008
738,80,2,2,1,2,Nao,Sim,Nao,Nao,Centro,2600.0,2010
440,49,2,2,1,1,Sim,Nao,Nao,Nao,Centro,1660.0,2007
574,79,2,2,1,2,Nao,Nao,Nao,Nao,Centro,4000.0,2017
550,50,1,2,1,1,Nao,Nao,Nao,Nao,Centro,1600.0,2009
850,50,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3700.0,2016
395,60,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1600.0,2009
592,60,1,1,0,1,Nao,Nao,Nao,Nao,Centro,2000.0,2009
490,55,1,1,0,1,Nao,Nao,Nao,Nao,Centro,2100.0,2011
820,40,1,2,1,1,Nao,Nao,Sim,Nao,Centro,2000.0,2012
500,35,1,1,0,1,Nao,Sim,Nao,Nao,Centro,2200.0,2009
211,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro,980.0,2001
1470,109,3,2,1,2,Nao,Nao,Nao,Nao,Centro,3750.0,2013
550,38,1,2,1,1,Nao,Sim,Sim,Nao,Centro,2800.0,2013
340,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3000.0,2012
450,30,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3100.0,2014
700,64,3,2,1,1,Nao,Sim,Sim,Nao,Centro,4000.0,2015
1240,120,3,2,1,1,Nao,Nao,Nao,Nao,Centro,3500.0,2018
340,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3200.0,2017
306,50,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1500.0,2007
970,70,1,2,0,0,Sim,Nao,Nao,Nao,Centro,1800.0,2006
955,61,2,2,0,1,Sim,Nao,Nao,Nao,Centro,2000.0,2009
780,56,2,2,1,1,Nao,Sim,Sim,Nao,Centro,5000.0,2021
1700,150,4,2,0,1,Nao,Nao,Nao,Nao,Centro,5000.0,2020
874,73,3,1,0,2,Nao,Nao,Sim,Nao,Centro,3500.0,2019
1800,207,3,2,1,3,Nao,Nao,Nao,Nao,Centro,4500.0,2016
0,40,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1200.0,1999
962,90,2,1,0,1,Nao,Nao,Nao,Nao,Centro,3000.0,2014
400,40,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1350.0,2001
995,100,3,2,1,1,Nao,Nao,Nao,Nao,Centro,2800.0,2011
1500,110,3,2,1,1,Nao,Nao,Nao,Nao,Centro,3000.0,2016
717,44,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1400.0,2003
1199,170,2,2,1,1,Nao,Nao,Nao,Nao,Centro,2000.0,2012
502,50,1,1,0,0,Sim,Nao,Nao,Nao,Centro,1200.0,2004
900,83,2,1,0,0,Nao,Sim,Nao,Nao,Centro,3500.0,2019
1597,170,3,2,1,2,Nao,Nao,Nao,Nao,Centro,5000.0,2021
340,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro,2800.0,2016
250,40,1,1,0,1,Sim,Nao,Sim,Nao,Centro,2100.0,2010
400,36,1,2,1,1,Nao,Nao,Nao,Nao,Centro,1750.0,2004
0,230,3,2,1,2,Nao,Nao,Nao,Nao,Centro,4500.0,2020
750,48,1,1,0,1,Nao,Sim,Sim,Nao,Centro,3100.0,2016
750,48,1,1,0,1,Nao,Sim,Sim,Nao,Centro,3100.0,2016
400,49,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3900.0,2015
757,69,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1200.0,2004
890,110,2,1,0,1,Nao,Nao,Nao,Nao,Centro,2800.0,2014
700,49,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3700.0,2014
2415,200,3,2,1,1,Nao,Nao,Sim,Nao,Centro,4900.0,2016
547,56,2,1,0,1,Nao,Nao,Nao,Nao,Centro,1850.0,2008
547,56,2,1,0,1,Nao,Sim,Nao,Nao,Centro,2660.0,2013
604,38,1,1,0,1,Nao,Sim,Nao,Nao,Centro,2700.0,2013
498,47,1,1,0,1,Sim,Nao,Nao,Nao,Centro,1600.0,2007
340,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3100.0,2012
453,42,1,1,0,1,Nao,Sim,Sim,Nao,Centro,2600.0,2013
340,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3400.0,2018
1800,120,3,2,1,2,Sim,Nao,Nao,Nao,Centro,3500.0,2017
1240,110,3,2,1,1,Nao,Nao,Sim,Nao,Centro,3520.0,2013
450,44,1,1,0,0,Sim,Nao,Nao,Nao,Centro,1600.0,2003
365,50,1,1,0,0,Sim,Sim,Nao,Nao,Centro,1300.0,2006
454,45,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1100.0,1998
453,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1750.0,2004
780,56,1,2,1,1,Nao,Nao,Sim,Nao,Centro,3100.0,2014
490,68,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1650.0,2009
354,48,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1617.0,2005
950,140,3,2,1,2,Nao,Sim,Sim,Nao,Centro,4500.0,2017
170,130,3,1,0,0,Nao,Nao,Nao,Nao,Centro,2800.0,2010
654,65,2,1,0,1,Nao,Nao,Nao,Nao,Centro,1000.0,1998
688,83,2,1,0,1,Nao,Nao,Nao,Nao,Centro,2000.0,2008
780,140,3,1,0,1,Nao,Nao,Nao,Nao,Centro,2500.0,2008
202,50,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1200.0,2000
40,80,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1250.0,2003
749,94,3,2,1,2,Nao,Nao,Sim,Nao,Centro,2900.0,2012
650,150,3,1,0,1,Sim,Nao,Nao,Nao,Centro,2500.0,2014
700,203,3,2,1,2,Nao,Nao,Nao,Nao,Centro,3000.0,2012
210,70,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1450.0,2001
220,90,2,1,0,0,Nao,Nao,Nao,Nao,Centro,2200.0,2010
2200,200,4,2,1,2,Sim,Nao,Nao,Nao,Centro,2500.0,2014
875,201,3,2,1,1,Nao,Nao,Nao,Nao,Centro,2500.0,2008
240,75,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1300.0,2003
220,90,2,1,0,0,Nao,Nao,Nao,Nao,Centro,2000.0,2007
350,52,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1300.0,2000
1837,200,3,2,1,1,Nao,Nao,Nao,Nao,Centro,2500.0,2014
250,70,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1900.0,2012
580,90,2,1,0,1,Sim,Nao,Nao,Nao,Centro,1500.0,2007
690,70,3,2,1,2,Nao,Nao,Sim,Nao,Centro,2500.0,2012
690,70,3,2,1,2,Nao,Nao,Sim,Nao,Centro,2400.0,2010
580,69,3,2,1,1,Sim,Nao,Nao,Nao,Centro,2600.0,2012
942,109,2,1,0,1,Nao,Nao,Nao,Nao,Centro,1500.0,2007
500,79,2,1,0,1,Nao,Nao,Nao,Nao,Centro,1600.0,2005
707,70,2,1,0,1,Sim,Nao,Nao,Nao,Centro,1700.0,2006
2200,200,4,2,1,2,Nao,Nao,Nao,Nao,Centro,2500.0,2008
537,59,2,2,1,1,Sim,Nao,Nao,Nao,Centro,1800.0,2007
554,52,2,1,0,1,Sim,Nao,Sim,Nao,Centro,1700.0,2008
1100,90,2,1,0,1,Sim,Nao,Nao,Nao,Centro,1500.0,2008
1379,150,3,2,1,1,Nao,Nao,Nao,Nao,Centro,2200.0,2012
550,75,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1650.0,2005
875,201,3,2,1,1,Nao,Nao,Nao,Nao,Centro,2500.0,2008
1450,200,3,2,1,1,Nao,Nao,Nao,Nao,Centro,2500.0,2012
690,75,3,2,1,2,Nao,Nao,Sim,Nao,Centro,2400.0,2009
875,200,3,2,1,1,Sim,Nao,Nao,Nao,Centro,2500.0,2014
600,120,2,1,0,1,Nao,Nao,Nao,Nao,Centro,1600.0,2009
725,97,3,3,2,2,Sim,Nao,Sim,Nao,Centro,3200.0,2017
600,35,1,1,0,0,Nao,Sim,Nao,Nao,Centro,1839.0,2011
600,35,1,2,1,1,Nao,Nao,Sim,Nao,Centro,3000.0,2013
322,74,2,2,1,1,Sim,Nao,Sim,Nao,Centro,5500.0,2017
810,60,1,2,1,2,Nao,Nao,Sim,Nao,Centro,2500.0,2015
269,35,1,1,0,0,Nao,Sim,Nao,Nao,Centro,2200.0,2013
340,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3100.0,2012
400,48,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1850.0,2006
432,43,1,1,0,1,Nao,Sim,Sim,Nao,Centro,3300.0,2015
350,40,1,1,0,1,Nao,Nao,Sim,Nao,Centro,3200.0,2016
2250,180,2,2,1,1,Nao,Nao,Nao,Nao,Centro,4000.0,2016
550,36,1,2,1,1,Sim,Sim,Sim,Nao,Centro,1600.0,2009
650,62,2,2,1,1,Nao,Sim,Sim,Nao,Centro,5000.0,2022
904,190,3,5,1,1,Sim,Nao,Nao,Nao,Centro,4500.0,2015
1171,80,2,1,0,1,Nao,Nao,Nao,Nao,Centro,2600.0,2012
600,75,1,1,0,0,Nao,Nao,Nao,Nao,Centro,2200.0,2011
299,30,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1000.0,1999
415,43,1,1,0,1,Nao,Sim,Sim,Nao,Centro,3900.0,2019
688,35,1,1,0,1,Nao,Nao,Sim,Nao,Centro,2100.0,2011
420,42,1,1,0,1,Sim,Sim,Sim,Nao,Centro,2500.0,2015
2700,215,3,3,0,1,Nao,Nao,Nao,Nao,Centro,4500.0,2021
984,100,2,1,0,1,Nao,Nao,Nao,Nao,Centro,2500.0,2013
500,35,1,1,0,1,Nao,Nao,Sim,Nao,Centro,2300.0,2014
650,35,1,2,1,1,Sim,Sim,Sim,Nao,Centro,1800.0,2007
723,50,2,1,0,0,Sim,Nao,Nao,Nao,Centro,2400.0,2012
340,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3000.0,2014
400,49,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3900.0,2018
450,34,1,1,0,1,Nao,Sim,Sim,Nao,Centro,2800.0,2016
702,48,1,1,0,1,Nao,Sim,Sim,Nao,Centro,3100.0,2013
367,34,1,1,0,1,Nao,Sim,Sim,Nao,Centro,3000.0,2013
373,35,1,1,0,1,Nao,Nao,Sim,Nao,Centro,3300.0,2017
690,50,2,1,0,1,Nao,Nao,Sim,Nao,Centro,2900.0,2013
649,130,3,1,0,0,Nao,Nao,Nao,Nao,Centro,3600.0,2014
473,35,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1700.0,2005
519,68,1,1,0,1,Nao,Sim,Nao,Nao,Centro,3700.0,2017
571,35,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1400.0,2005
670,55,1,1,0,1,Nao,Sim,Nao,Nao,Centro,2150.0,2007
565,59,2,1,0,1,Sim,Sim,Sim,Nao,Centro,5000.0,2020
435,49,1,1,0,1,Nao,Nao,Sim,Nao,Centro,3500.0,2017
648,130,3,2,1,0,Nao,Nao,Nao,Nao,Centro,3600.0,2016
683,60,2,2,1,2,Nao,Nao,Sim,Nao,Centro,5000.0,2019
340,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro,3200.0,2015
571,55,1,1,0,1,Nao,Nao,Sim,Nao,Centro,2000.0,2009
767,90,3,2,1,1,Nao,Nao,Nao,Nao,Centro,3200.0,2015
270,35,1,1,0,1,Nao,Nao,Nao,Nao,Centro,2100.0,2012
700,43,1,1,0,1,Nao,Nao,Sim,Nao,Centro,2000.0,2011
800,60,2,1,0,1,Sim,Nao,Sim,Nao,Centro,4000.0,2016
540,67,2,1,0,1,Nao,Sim,Sim,Nao,Centro,5000.0,2017
1130,120,3,2,1,1,Sim,Nao,Nao,Nao,Centro,4200.0,2020
747,63,2,3,2,2,Nao,Nao,Sim,Nao,Centro,4400.0,2018
500,90,2,1,0,1,Nao,Nao,Nao,Nao,Centro,1900.0,2005
850,50,1,1,0,1,Nao,Nao,Sim,Nao,Centro,1900.0,2011
600,35,1,1,0,1,Nao,Nao,Sim,Nao,Centro,2700.0,2015
326,40,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1800.0,2005
460,45,2,1,0,1,Sim,Nao,Nao,Nao,Centro,1400.0,2001
340,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro,4000.0,2014
300,45,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1700.0,2006
542,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro,2500.0,2014
0,35,1,1,0,0,Nao,Nao,Nao,Nao,Centro,2200.0,2007
700,70,2,1,0,0,Nao,Nao,Nao,Nao,Centro,2450.0,2011
1100,138,3,3,2,1,Nao,Nao,Nao,Nao,Centro,3000.0,2015
200,75,1,2,0,1,Nao,Nao,Nao,Nao,Centro,2000.0,2006
1556,110,3,2,1,1,Sim,Nao,Nao,Nao,Centro,2900.0,2012
540,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1400.0,2006
510,60,2,1,0,1,Sim,Nao,Nao,Nao,Centro,1300.0,2005
306,60,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1550.0,2004
590,50,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1200.0,1998
859,137,3,2,1,1,Nao,Nao,Nao,Nao,Centro,2500.0,2014
456,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1700.0,2008
531,40,1,1,0,1,Nao,Nao,Sim,Nao,Centro,2500.0,2009
640,73,3,2,1,2,Sim,Nao,Sim,Nao,Centro,1800.0,2007
667,67,2,1,0,1,Nao,Nao,Nao,Nao,Centro,1750.0,2005
270,63,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1600.0,2006
1556,110,3,2,1,1,Sim,Nao,Nao,Nao,Centro,2900.0,2016
180,65,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1700.0,2006
439,41,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1700.0,2009
1566,170,3,2,1,1,Nao,Nao,Nao,Nao,Centro,2800.0,2010
770,49,1,1,0,1,Nao,Sim,Sim,Nao,Centro,2500.0,2012
380,55,1,1,0,1,Sim,Nao,Nao,Nao,Centro,2000.0,2006
245,60,1,1,0,1,Sim,Nao,Nao,Nao,Centro,1500.0,2007
700,35,1,1,0,1,Nao,Sim,Sim,Nao,Centro,1650.0,2003
1400,170,3,1,0,2,Nao,Nao,Nao,Nao,Centro,3800.0,2014
2450,130,3,2,1,2,Nao,Nao,Nao,Nao,Centro,2800.0,2013
456,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1700.0,2007
1100,110,3,2,1,2,Sim,Nao,Nao,Nao,Centro,3900.0,2019
520,38,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1400.0,2006
2100,200,3,4,3,2,Nao,Nao,Nao,Nao,Centro,5000.0,2017
762,100,3,1,0,1,Nao,Nao,Nao,Nao,Centro,2220.0,2009
600,60,2,1,0,1,Nao,Nao,Nao,Nao,Centro,1500.0,2002
680,36,1,1,0,1,Sim,Nao,Nao,Nao,Centro,2700.0,2014
497,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1200.0,1998
270,40,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1600.0,2003
800,48,1,1,0,1,Sim,Sim,Sim,Nao,Centro,1900.0,2007
680,36,1,1,0,1,Sim,Nao,Nao,Nao,Centro,2700.0,2010
570,45,1,1,0,0,Nao,Sim,Nao,Nao,Centro,1500.0,2003
410,45,1,1,0,1,Nao,Nao,Sim,Nao,Centro,1600.0,2004
437,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1100.0,2000
1370,162,2,1,0,2,Nao,Nao,Nao,Nao,Centro,3000.0,2016
970,86,3,2,1,1,Nao,Nao,Sim,Nao,Centro,1600.0,2009
600,50,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1200.0,2002
820,43,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1800.0,2005
640,70,2,1,0,0,Sim,Nao,Nao,Nao,Centro,1600.0,2003
850,100,3,1,0,1,Sim,Nao,Nao,Nao,Centro,2300.0,2010
800,76,2,1,0,1,Nao,Sim,Nao,Nao,Centro,5000.0,2021
600,70,2,1,0,1,Sim,Nao,Sim,Nao,Centro,3500.0,2013
699,45,1,1,0,1,Nao,Sim,Nao,Nao,Centro,1400.0,2004
200,72,1,2,0,1,Nao,Nao,Nao,Nao,Centro,2200.0,2010
750,44,1,2,1,1,Nao,Nao,Sim,Nao,Centro,2050.0,2008
2200,125,3,3,1,3,Sim,Sim,Sim,Nao,Centro,4900.0,2021
430,45,2,1,0,1,Sim,Sim,Sim,Nao,Centro,1700.0,2010
200,80,2,2,0,1,Nao,Nao,Nao,Nao,Centro,3500.0,2015
547,60,2,2,1,1,Nao,Sim,Nao,Nao,Centro,2450.0,2014
1200,80,2,1,0,1,Nao,Nao,Nao,Nao,Centro,1500.0,2004
608,45,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1500.0,2004
538,55,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1600.0,2003
420,48,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1300.0,2006
1370,130,2,1,0,2,Nao,Sim,Nao,Nao,Centro,3300.0,2017
850,76,3,2,1,1,Nao,Sim,Nao,Nao,Centro,5200.0,2020
350,32,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1400.0,2004
527,50,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1480.0,2002
460,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1700.0,2009
580,149,2,1,0,0,Sim,Nao,Nao,Nao,Centro,3000.0,2016
1264,154,2,2,1,1,Sim,Nao,Nao,Nao,Centro,3000.0,2013
470,74,2,1,0,0,Sim,Nao,Nao,Nao,Centro,2000.0,2012
604,83,2,1,0,0,Nao,Nao,Sim,Nao,Centro,2600.0,2009
832,69,3,1,0,1,Sim,Nao,Nao,Nao,Centro,1800.0,2005
341,56,1,1,0,0,Nao,Nao,Sim,Nao,Centro,2100.0,2010
360,80,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1400.0,2003
480,173,3,2,1,0,Sim,Nao,Nao,Nao,Centro,3800.0,2018
689,48,1,2,1,1,Nao,Sim,Nao,Nao,Centro,1700.0,2008
470,41,1,2,1,1,Sim,Nao,Sim,Nao,Centro,1700.0,2006
640,44,1,2,1,1,Nao,Nao,Nao,Nao,Centro,2500.0,2012
682,54,2,1,0,1,Nao,Nao,Sim,Nao,Centro,2000.0,2009
386,41,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1100.0,1999
386,41,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1100.0,2000
312,40,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1200.0,2000
645,56,2,1,0,1,Sim,Nao,Nao,Nao,Centro,2500.0,2010
0,41,1,1,0,1,Nao,Nao,Sim,Nao,Centro,4000.0,2016
501,41,1,1,0,1,Nao,Sim,Sim,Nao,Centro,2500.0,2015
650,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1200.0,2001
504,61,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1300.0,2002
470,65,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1550.0,2008
500,41,1,1,0,1,Nao,Nao,Nao,Nao,Centro,2000.0,2009
260,33,1,1,0,1,Nao,Sim,Nao,Nao,Centro,2000.0,2006
574,41,1,1,0,1,Sim,Nao,Sim,Nao,Centro,1850.0,2005
590,48,2,1,0,0,Nao,Nao,Nao,Nao,Centro,1300.0,2005
458,39,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1000.0,1998
452,39,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1000.0,1998
1018,140,2,2,0,1,Nao,Nao,Nao,Nao,Centro,2800.0,2012
320,30,1,2,1,1,Sim,Sim,Sim,Nao,Centro,2500.0,2012
0,40,1,1,0,1,Sim,Nao,Nao,Nao,Centro,2200.0,2007
870,120,2,1,0,1,Nao,Nao,Nao,Nao,Centro,2800.0,2010
486,41,1,1,0,1,Nao,Nao,Sim,Nao,Centro,1600.0,2004
400,41,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1250.0,2005
485,48,1,1,0,1,Sim,Sim,Sim,Nao,Centro,2500.0,2015
377,38,1,1,0,0,Nao,Nao,Nao,Nao,Centro,800.0,2000
401,38,1,1,0,0,Nao,Nao,Nao,Nao,Centro,1100.0,1998
2102,190,3,2,1,2,Nao,Nao,Nao,Nao,Centro,4000.0,2016
602,60,2,1,0,1,Nao,Sim,Sim,Nao,Centro,2800.0,2016
629,75,2,1,0,1,Nao,Nao,Nao,Nao,Centro,2200.0,2010
840,84,3,2,1,1,Nao,Nao,Nao,Nao,Centro,2500.0,2010
425,40,1,2,1,1,Sim,Nao,Sim,Nao,Centro,1700.0,2004
495,36,1,1,0,1,Nao,Nao,Sim,Nao,Centro,2750.0,2013
561,105,3,2,1,0,Nao,Nao,Nao,Nao,Centro,2500.0,2012
1172,120,1,1,0,1,Nao,Sim,Nao,Nao,Centro,4000.0,2014
476,64,1,1,0,0,Nao,Sim,Nao,Nao,Centro,1600.0,2004
1165,60,1,1,0,1,Nao,Sim,Nao,Nao,Centro,1690.0,2004
1280,73,2,3,2,1,Nao,Sim,Sim,Nao,Centro,3320.0,2017
400,40,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1300.0,2002
656,70,2,1,0,0,Nao,Sim,Nao,Nao,Centro,2600.0,2013
970,42,1,2,1,1,Nao,Nao,Sim,Nao,Centro,2700.0,2014
800,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1650.0,2006
700,62,1,1,0,1,Nao,Nao,Nao,Nao,Centro,1700.0,2010
970,42,1,2,1,0,Nao,Nao,Sim,Nao,Centro,2700.0,2010
628,63,1,2,1,1,Nao,Nao,Sim,Nao,Centro,2250.0,2007
1400,126,3,2,1,2,Nao,Nao,Nao,Nao,Centro,4000.0,2016
1700,168,3,2,1,1,Nao,Nao,Nao,Nao,Centro,4000.0,2016
480,64,1,1,0,0,Nao,Sim,Nao,Nao,Centro,2600.0,2011
538,52,1,2,1,0,Nao,Nao,Sim,Nao,Centro,1500.0,2005
480,64,1,1,0,0,Nao,Sim,Nao,Nao,Centro,2990.0,2016
