Ano,Potencia_motor,Cilindros_motor,Consumo_estrada_km,Valor
2005,155.0,6.0,40.2335,19349
2015,308.0,6.0,38.62416,48920
1997,322.0,12.0,30.57746,7624
2015,182.0,4.0,46.67086,33670
1991,141.0,6.0,35.40548,2000
2017,130.0,4.0,59.54558,21265
2017,261.0,6.0,33.79614,29170
2004,335.0,8.0,33.79614,64600
2017,290.0,6.0,41.84284,52360
2016,208.0,4.0,45.06152,35950
2003,185.0,6.0,38.62416,20870
2016,333.0,6.0,45.06152,56100
2012,150.0,4.0,48.2802,16799
2013,250.0,6.0,33.79614,35030
2006,155.0,4.0,49.88954,21225
2016,272.0,4.0,49.88954,37995
2017,240.0,4.0,57.93624,41750
2016,261.0,6.0,33.79614,34360
2016,231.0,4.0,49.88954,33270
2015,204.0,6.0,48.2802,43360
2008,256.0,6.0,40.2335,26910
1992,140.0,4.0,45.06152,2000
2015,308.0,6.0,38.62416,46030
2016,240.0,4.0,48.2802,50475
2015,308.0,6.0,37.01482,51730
1998,200.0,6.0,27.35878,2169
2013,100.0,4.0,56.3269,14720
2017,381.0,8.0,27.35878,48685
1994,141.0,6.0,41.84284,2000
1990,160.0,6.0,30.57746,2000
2015,155.0,4.0,65.98294,16945
2016,240.0,6.0,41.84284,63600
2015,272.0,4.0,46.67086,48205
2017,240.0,4.0,45.06152,45475
1993,81.0,4.0,48.2802,2000
2012,200.0,4.0,53.10822,25095
2010,207.0,4.0,46.67086,39990
2008,207.0,6.0,30.57746,22045
1992,111.0,4.0,51.49888,2000
2006,155.0,4.0,45.06152,14599
2017,280.0,6.0,40.2335,42870
1993,230.0,6.0,37.01482,2000
2003,205.0,6.0,37.01482,28447
2016,266.0,6.0,37.01482,43040
2017,290.0,6.0,40.2335,33100
1997,200.0,6.0,27.35878,2000
2001,175.0,6.0,24.1401,18695
2015,199.0,4.0,64.3736,25990
1997,134.0,4.0,37.01482,2837
2010,158.0,4.0,49.88954,18740
1991,114.0,4.0,38.62416,2000
2017,182.0,4.0,49.88954,24070
2015,381.0,8.0,27.35878,35040
2016,381.0,8.0,27.35878,34220
2010,210.0,6.0,32.1868,26325
2016,292.0,4.0,49.88954,48650
2017,303.0,6.0,37.01482,48055
2017,362.0,6.0,37.01482,69650
2014,317.0,8.0,30.57746,37590
1993,295.0,8.0,32.1868,2358
2007,295.0,8.0,30.57746,30465
1997,155.0,6.0,41.84284,2000
2015,148.0,4.0,49.88954,21595
2015,292.0,6.0,49.88954,27995
2016,285.0,6.0,35.40548,38890
1997,220.0,8.0,27.35878,3241
2016,278.0,6.0,37.01482,38180
2015,241.0,4.0,53.10822,52250
2017,123.0,3.0,67.59228,18175
2017,381.0,8.0,28.96812,46980
2015,270.0,6.0,51.49888,26450
2016,240.0,4.0,54.71756,32850
2009,285.0,6.0,32.1868,33595
2010,303.0,6.0,40.2335,45800
2015,281.0,6.0,38.62416,42095
2017,296.0,6.0,43.45218,36310
1992,111.0,4.0,51.49888,2000
2015,268.0,4.0,40.2335,29695
2005,140.0,4.0,51.49888,10895
2011,239.0,8.0,38.62416,47000
2010,265.0,6.0,40.2335,28089
2017,310.0,8.0,28.96812,37200
2016,121.0,4.0,80.467,28100
2006,201.0,6.0,37.01482,22750
2009,166.0,4.0,37.01482,22785
2008,150.0,4.0,41.84284,18430
2017,280.0,6.0,43.45218,41670
1995,222.0,6.0,35.40548,2702
2015,178.0,4.0,51.49888,25650
2008,210.0,6.0,32.1868,20470
1994,200.0,6.0,32.1868,2000
2016,288.0,6.0,38.62416,36310
1995,116.0,4.0,32.1868,2553
2016,285.0,6.0,38.62416,29510
2006,330.0,6.0,35.40548,49300
1994,172.0,6.0,35.40548,2000
2015,210.0,4.0,51.49888,30380
2017,303.0,6.0,37.01482,44045
1997,181.0,6.0,38.62416,2000
2016,155.0,4.0,65.98294,23595
2007,215.0,6.0,37.01482,29510
2017,175.0,4.0,51.49888,35995
2003,174.0,6.0,30.57746,31575
2017,279.0,6.0,43.45218,37070
2015,196.0,4.0,57.93624,23610
2016,248.0,6.0,45.06152,36050
2016,266.0,6.0,40.2335,35210
2007,195.0,6.0,27.35878,20960
2015,355.0,8.0,35.40548,45120
2015,295.0,6.0,45.06152,49020
1998,220.0,8.0,25.74944,3269
2009,150.0,5.0,46.67086,19390
2015,330.0,6.0,43.45218,49650
2010,390.0,8.0,28.96812,42650
2017,381.0,8.0,28.96812,33430
1998,150.0,6.0,38.62416,2000
2016,175.0,4.0,57.93624,26845
2015,220.0,4.0,45.06152,49800
1995,138.0,4.0,30.57746,2088
2013,200.0,4.0,49.88954,24200
2015,170.0,4.0,53.10822,23040
2011,330.0,6.0,43.45218,37150
2016,282.0,6.0,37.01482,35330
2011,166.0,4.0,41.84284,19299
2016,420.0,8.0,33.79614,68325
2011,227.0,5.0,46.67086,27100
2015,270.0,6.0,33.79614,37825
1997,160.0,4.0,43.45218,2410
1996,320.0,6.0,35.40548,18255
2016,260.0,6.0,45.06152,38730
1994,260.0,8.0,37.01482,2000
2016,201.0,4.0,48.2802,21690
2017,185.0,4.0,57.93624,23155
2009,210.0,6.0,28.96812,29985
2017,106.0,4.0,56.3269,16910
2000,342.0,8.0,25.74944,5650
2017,329.0,6.0,46.67086,62600
1999,220.0,8.0,25.74944,3572
2017,329.0,6.0,45.06152,57050
2010,251.0,6.0,40.2335,36600
2014,201.0,4.0,49.88954,30635
1992,200.0,8.0,32.1868,2234
2016,250.0,5.0,46.67086,35650
2015,240.0,4.0,41.84284,35595
2016,175.0,4.0,49.88954,25550
2009,292.0,8.0,30.57746,33670
2017,170.0,4.0,51.49888,25995
2012,200.0,4.0,49.88954,23995
2009,150.0,5.0,46.67086,19390
2013,230.0,6.0,45.06152,31500
2017,241.0,4.0,54.71756,41675
2017,275.0,6.0,30.57746,38165
2004,250.0,6.0,32.1868,39950
2017,272.0,4.0,48.2802,43395
2017,206.0,4.0,56.3269,35950
2017,240.0,4.0,46.67086,51000
2015,137.0,4.0,61.15492,14995
2016,355.0,8.0,35.40548,53015
2008,170.0,5.0,46.67086,16675
1995,141.0,6.0,41.84284,2000
2006,250.0,6.0,35.40548,29100
2009,252.0,6.0,41.84284,28960
2016,178.0,4.0,61.15492,23725
2008,127.0,4.0,45.06152,16089
1998,95.0,4.0,41.84284,2000
2013,320.0,8.0,33.79614,38625
2017,390.0,8.0,33.79614,49460
2009,227.0,6.0,41.84284,35770
1992,230.0,8.0,24.1401,2000
2016,275.0,6.0,30.57746,41030
2014,255.0,8.0,24.1401,36020
2011,265.0,6.0,40.2335,33380
2000,140.0,4.0,45.06152,3222
2014,318.0,6.0,43.45218,49995
2015,293.0,6.0,46.67086,34000
2017,240.0,4.0,40.2335,33300
2015,130.0,4.0,62.76426,20795
1990,160.0,4.0,45.06152,2000
1992,81.0,4.0,48.2802,2000
2015,285.0,6.0,38.62416,28545
2006,201.0,6.0,45.06152,23465
2003,130.0,4.0,45.06152,16895
2016,210.0,4.0,54.71756,28025
2015,420.0,8.0,33.79614,64520
2016,210.0,4.0,49.88954,32670
2007,245.0,6.0,33.79614,37295
2015,240.0,4.0,48.2802,48900
2013,180.0,4.0,45.06152,24155
2013,261.0,6.0,35.40548,24850
2008,210.0,6.0,32.1868,20490
2017,188.0,4.0,51.49888,22550
2017,174.0,4.0,67.59228,24800
2009,166.0,4.0,40.2335,24085
1997,230.0,8.0,27.35878,3046
2015,138.0,4.0,53.10822,29435
2017,335.0,6.0,49.88954,46450
2005,140.0,4.0,48.2802,17670
2014,140.0,0.0,175.41806,27010
2015,321.0,6.0,45.06152,50325
2017,285.0,6.0,35.40548,39965
2011,332.0,8.0,37.01482,48575
1995,181.0,6.0,37.01482,2000
1998,140.0,4.0,45.06152,2073
1999,150.0,6.0,32.1868,3214
1993,92.0,4.0,57.93624,2000
2017,185.0,4.0,54.71756,28000
2003,120.0,4.0,40.2335,14770
2014,317.0,8.0,27.35878,37320
2017,248.0,4.0,54.71756,41950
2012,162.0,4.0,45.06152,24699
2007,295.0,8.0,27.35878,27060
2007,195.0,6.0,30.57746,19620
2016,280.0,6.0,37.01482,51450
2008,215.0,6.0,30.57746,22435
2002,130.0,4.0,49.88954,12815
2017,160.0,4.0,64.3736,21675
2016,292.0,6.0,49.88954,42690
2016,292.0,6.0,49.88954,32260
2006,250.0,6.0,33.79614,30695
2017,109.0,4.0,62.76426,14130
2012,138.0,4.0,48.2802,17195
2014,333.0,6.0,41.84284,54000
1997,276.0,6.0,35.40548,4330
1996,172.0,6.0,35.40548,2631
2012,220.0,4.0,45.06152,31180
2010,150.0,5.0,46.67086,20390
2007,201.0,6.0,33.79614,26665
2016,106.0,4.0,59.54558,16870
1999,132.0,4.0,57.93624,2000
2013,157.0,4.0,45.06152,20940
2013,170.0,4.0,77.24832,24995
2013,268.0,6.0,40.2335,39020
2016,101.0,4.0,64.3736,21295
2016,275.0,6.0,30.57746,34470
2015,240.0,6.0,46.67086,61700
2010,108.0,4.0,56.3269,14250
2015,268.0,6.0,49.88954,37170
2014,201.0,4.0,51.49888,43525
2016,385.0,8.0,33.79614,38325
1998,205.0,6.0,43.45218,2084
2017,185.0,4.0,45.06152,25400
2013,166.0,4.0,41.84284,19949
2015,220.0,4.0,51.49888,38500
2016,245.0,4.0,49.88954,34075
1996,199.0,8.0,25.74944,3248
2009,240.0,6.0,38.62416,24805
2015,200.0,4.0,48.2802,36145
2017,332.0,6.0,41.84284,31290
2017,280.0,6.0,41.84284,35930
2017,268.0,6.0,48.2802,36450
2014,180.0,4.0,45.06152,29495
2016,148.0,4.0,59.54558,19295
2015,485.0,8.0,37.01482,45695
2014,240.0,4.0,38.62416,39100
2015,278.0,6.0,54.71756,32270
2015,285.0,6.0,38.62416,30695
1990,110.0,4.0,48.2802,2000
2015,278.0,6.0,45.06152,32550
2017,235.0,4.0,45.06152,35085
1995,165.0,6.0,32.1868,2000
2009,173.0,4.0,40.2335,24275
2015,415.0,8.0,33.79614,45745
2016,290.0,6.0,37.01482,43300
2016,120.0,4.0,56.3269,14880
2017,381.0,8.0,27.35878,44195
2009,252.0,6.0,37.01482,30230
2016,266.0,6.0,40.2335,35410
1991,97.0,4.0,46.67086,2000
2016,250.0,4.0,53.10822,28620
2013,122.0,4.0,49.88954,18860
2016,288.0,6.0,35.40548,47890
2015,99.0,4.0,74.02964,19540
2003,201.0,6.0,28.96812,27700
2010,158.0,4.0,43.45218,18060
2015,261.0,6.0,33.79614,25400
1998,185.0,4.0,38.62416,2000
2015,273.0,6.0,45.06152,35095
2014,200.0,4.0,53.10822,26195
1997,161.0,4.0,32.1868,2580
2004,185.0,6.0,38.62416,30235
2016,120.0,4.0,56.3269,14580
2004,190.0,6.0,30.57746,22695
2015,293.0,6.0,45.06152,34900
2016,333.0,6.0,41.84284,61100
2017,278.0,6.0,37.01482,38795
2014,160.0,4.0,53.10822,29295
2017,310.0,4.0,48.2802,25645
2008,186.0,6.0,41.84284,29275
2016,168.0,4.0,43.45218,22695
2000,79.0,4.0,61.15492,2000
2016,252.0,4.0,41.84284,44710
2017,275.0,6.0,30.57746,34365
2004,190.0,6.0,25.74944,26195
2017,121.0,4.0,85.29502,28800
2014,273.0,6.0,35.40548,31575
1999,220.0,8.0,27.35878,3550
2015,158.0,4.0,45.06152,26230
1993,96.0,4.0,48.2802,2000
1992,114.0,4.0,41.84284,2000
2004,140.0,4.0,53.10822,14235
2015,290.0,6.0,43.45218,50840
2016,195.0,4.0,49.88954,27095
2007,170.0,6.0,38.62416,20555
2015,240.0,4.0,48.2802,60000
2017,205.0,4.0,46.67086,27645
2003,135.0,4.0,41.84284,18050
2016,300.0,6.0,49.88954,36090
2004,232.0,6.0,38.62416,32370
2017,360.0,6.0,48.2802,49800
2009,210.0,6.0,32.1868,24235
2007,252.0,6.0,33.79614,28349
2016,290.0,6.0,37.01482,33050
2016,445.0,8.0,38.62416,72500
1998,230.0,8.0,28.96812,3342
2016,279.0,6.0,45.06152,41870
2016,261.0,6.0,33.79614,28890
2015,160.0,4.0,53.10822,21695
2015,275.0,6.0,48.2802,52600
1993,130.0,4.0,41.84284,2000
2016,170.0,4.0,54.71756,25975
2016,329.0,6.0,48.2802,66900
2008,210.0,6.0,28.96812,30510
2015,138.0,4.0,56.3269,15495
2006,320.0,8.0,27.35878,49750
2002,190.0,6.0,32.1868,18944
2007,295.0,8.0,30.57746,28995
2015,285.0,6.0,35.40548,34675
2015,170.0,4.0,57.93624,31790
2011,302.0,6.0,43.45218,56380
2013,201.0,4.0,49.88954,30510
2010,260.0,4.0,48.2802,24535
2017,350.0,6.0,41.84284,41990
2016,261.0,6.0,33.79614,27960
2016,150.0,4.0,69.20162,36700
2004,225.0,6.0,43.45218,31725
2014,318.0,6.0,43.45218,39495
2016,170.0,4.0,61.15492,28410
1992,160.0,6.0,32.1868,2000
2014,158.0,4.0,45.06152,16970
2017,174.0,4.0,64.3736,25300
2012,280.0,6.0,45.06152,35550
2016,130.0,4.0,61.15492,18600
2004,200.0,6.0,43.45218,23480
2017,210.0,4.0,46.67086,32550
2010,197.0,6.0,37.01482,33600
2003,240.0,6.0,30.57746,34750
2015,283.0,6.0,40.2335,28395
2016,254.0,6.0,46.67086,71450
2014,170.0,4.0,77.24832,30245
1998,95.0,4.0,41.84284,2000
1999,150.0,4.0,57.93624,2000
1995,240.0,8.0,24.1401,4508
1992,228.0,6.0,33.79614,3814
2016,140.0,4.0,64.3736,19835
2015,240.0,4.0,48.2802,41100
2014,210.0,4.0,53.10822,24535
2017,296.0,6.0,43.45218,29750
1990,200.0,4.0,37.01482,2000
2016,159.0,4.0,37.01482,23660
2016,355.0,8.0,37.01482,48315
1993,275.0,8.0,27.35878,2650
2015,138.0,4.0,53.10822,26155
2016,355.0,8.0,37.01482,57000
2015,170.0,4.0,53.10822,20195
1993,170.0,6.0,41.84284,2000
2002,190.0,6.0,28.96812,24063
2015,261.0,6.0,33.79614,31510
2015,285.0,6.0,35.40548,42635
2006,340.0,8.0,35.40548,58100
2005,232.0,6.0,38.62416,32640
2015,170.0,4.0,51.49888,24140
1990,90.0,4.0,25.74944,2000
1997,200.0,6.0,28.96812,2580
1995,165.0,6.0,32.1868,2000
2016,355.0,8.0,35.40548,43260
2008,210.0,6.0,30.57746,27935
2002,275.0,8.0,37.01482,39775
2015,201.0,4.0,46.67086,21890
2017,302.0,4.0,46.67086,46350
2015,265.0,6.0,43.45218,42400
2015,158.0,4.0,45.06152,27505
1992,100.0,4.0,46.67086,2000
2014,160.0,4.0,65.98294,19995
2009,390.0,8.0,25.74944,39330
2015,292.0,6.0,43.45218,40570
2004,175.0,6.0,43.45218,23530
2016,148.0,4.0,59.54558,23095
2015,330.0,6.0,40.2335,47700
1993,140.0,6.0,41.84284,2000
1992,162.0,6.0,37.01482,2000
1991,110.0,4.0,56.3269,2000
2013,300.0,6.0,37.01482,50920
2000,236.0,5.0,40.2335,2608
2016,132.0,4.0,59.54558,19365
1997,220.0,8.0,27.35878,3156
1999,215.0,6.0,28.96812,2934
2015,260.0,6.0,45.06152,32620
2007,210.0,6.0,32.1868,24005
2016,210.0,4.0,53.10822,29280
2010,138.0,4.0,48.2802,17195
2002,310.0,8.0,37.01482,28025
2007,217.0,6.0,45.06152,23915
2017,296.0,6.0,43.45218,42800
2016,285.0,6.0,35.40548,31655
2013,158.0,4.0,46.67086,21455
2017,155.0,4.0,59.54558,21495
2004,108.0,4.0,54.71756,12480
2015,210.0,4.0,49.88954,33995
2015,350.0,6.0,41.84284,41990
1999,290.0,8.0,37.01482,4031
1996,190.0,6.0,32.1868,2506
2017,205.0,4.0,46.67086,29695
2016,385.0,8.0,35.40548,50350
2016,250.0,5.0,41.84284,41350
2013,200.0,4.0,53.10822,26195
2015,300.0,6.0,45.06152,43950
2009,143.0,4.0,41.84284,16060
1993,81.0,4.0,48.2802,2000
1996,164.0,6.0,38.62416,2000
2000,160.0,6.0,30.57746,3579
2017,200.0,4.0,45.06152,41300
2006,157.0,4.0,48.2802,23405
1994,92.0,4.0,56.3269,2000
2014,340.0,6.0,37.01482,62600
2016,245.0,4.0,45.06152,30695
1991,145.0,6.0,37.01482,2000
2015,260.0,6.0,43.45218,29780
2015,268.0,6.0,49.88954,40440
2017,308.0,6.0,45.06152,53035
2004,165.0,6.0,32.1868,22715
2015,285.0,6.0,35.40548,32395
2003,185.0,6.0,38.62416,26140
2017,385.0,8.0,35.40548,50580
2016,173.0,4.0,53.10822,18090
2017,185.0,4.0,54.71756,30995
2016,485.0,8.0,37.01482,42795
1998,225.0,6.0,35.40548,20596
2016,290.0,6.0,40.2335,34500
2015,261.0,6.0,35.40548,25670
2015,282.0,6.0,40.2335,30090
2000,170.0,6.0,43.45218,2000
2015,240.0,4.0,41.84284,45570
1992,82.0,4.0,53.10822,2000
2016,329.0,6.0,46.67086,63100
2008,210.0,6.0,43.45218,27155
2016,283.0,6.0,40.2335,22595
2011,171.0,4.0,41.84284,24350
1996,276.0,6.0,32.1868,3996
2017,308.0,6.0,45.06152,56495
2014,317.0,8.0,27.35878,34640
2017,185.0,4.0,54.71756,28995
2016,260.0,6.0,43.45218,43230
2016,200.0,4.0,54.71756,30610
2013,200.0,4.0,49.88954,25095
2015,274.0,4.0,49.88954,35500
2015,138.0,4.0,54.71756,20120
2016,302.0,4.0,45.06152,47750
2015,290.0,6.0,37.01482,32700
2015,200.0,4.0,48.2802,29490
2016,250.0,4.0,45.06152,29195
2007,285.0,8.0,28.96812,27250
2009,292.0,8.0,35.40548,40205
2014,416.0,8.0,37.01482,63600
1999,79.0,4.0,62.76426,2000
2010,390.0,8.0,28.96812,40495
1992,176.0,5.0,38.62416,2000
1994,222.0,6.0,37.01482,2350
2007,293.0,6.0,37.01482,34050
2011,210.0,4.0,43.45218,37020
1992,93.0,4.0,46.67086,2000
2012,98.0,4.0,70.81096,20275
2017,148.0,4.0,48.2802,22495
2016,200.0,4.0,48.2802,31995
2015,261.0,6.0,33.79614,31360
2014,210.0,4.0,53.10822,27455
1990,160.0,6.0,35.40548,2000
2015,285.0,6.0,35.40548,42935
2017,132.0,4.0,56.3269,21665
2015,300.0,6.0,43.45218,59600
2010,330.0,6.0,40.2335,40400
2014,280.0,8.0,27.35878,31865
2017,362.0,6.0,35.40548,68700
2015,302.0,6.0,38.62416,48300
2017,365.0,6.0,30.57746,51861
1996,222.0,6.0,35.40548,3107
2007,295.0,8.0,27.35878,35520
2007,295.0,8.0,30.57746,32330
1995,92.0,4.0,53.10822,2000
2002,120.0,4.0,37.01482,21474
2011,166.0,4.0,40.2335,20825
2017,212.0,4.0,75.63898,35955
2016,101.0,4.0,64.3736,17900
1996,134.0,4.0,28.96812,2647
2001,207.0,6.0,28.96812,22085
2008,252.0,6.0,35.40548,26749
2016,138.0,4.0,59.54558,15495
2016,240.0,4.0,46.67086,33260
2016,415.0,8.0,32.1868,46575
2013,98.0,4.0,70.81096,23790
2000,158.0,6.0,37.01482,2331
2006,330.0,6.0,35.40548,45170
1998,220.0,8.0,25.74944,3487
2017,240.0,4.0,45.06152,51100
2007,285.0,8.0,28.96812,28410
1993,110.0,4.0,51.49888,2000
1995,138.0,4.0,32.1868,2000
2017,460.0,8.0,40.2335,70195
2015,381.0,8.0,27.35878,64320
2017,180.0,4.0,46.67086,27035
2005,138.0,4.0,48.2802,26145
2003,302.0,8.0,27.35878,45125
2015,266.0,6.0,40.2335,39780
2012,332.0,8.0,37.01482,55280
