Valor,Tamanho,Quartos,Banheiros,Suites,Vagas,Elevador,Mobiliado,Piscina,Novo,Regiao
1350,40,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2800,100,3,2,1,1,Nao,Nao,Nao,Nao,Centro
3000,110,3,2,1,1,Nao,Nao,Nao,Nao,Centro
1400,44,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2000,170,2,2,1,1,Nao,Nao,Nao,Nao,Centro
1200,50,1,1,0,0,Sim,Nao,Nao,Nao,Centro
3500,83,2,1,0,0,Nao,Sim,Nao,Nao,Centro
5000,170,3,2,1,2,Nao,Nao,Nao,Nao,Centro
2800,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro
2100,40,1,1,0,1,Sim,Nao,Sim,Nao,Centro
1750,36,1,2,1,1,Nao,Nao,Nao,Nao,Centro
4500,230,3,2,1,2,Nao,Nao,Nao,Nao,Centro
3100,48,1,1,0,1,Nao,Sim,Sim,Nao,Centro
3100,48,1,1,0,1,Nao,Sim,Sim,Nao,Centro
3900,49,1,2,1,1,Nao,Sim,Sim,Nao,Centro
1200,69,2,1,0,0,Nao,Nao,Nao,Nao,Centro
2800,110,2,1,0,1,Nao,Nao,Nao,Nao,Centro
3700,49,1,2,1,1,Nao,Sim,Sim,Nao,Centro
4900,200,3,2,1,1,Nao,Nao,Sim,Nao,Centro
1850,56,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2660,56,2,1,0,1,Nao,Sim,Nao,Nao,Centro
2700,38,1,1,0,1,Nao,Sim,Nao,Nao,Centro
1600,47,1,1,0,1,Sim,Nao,Nao,Nao,Centro
3100,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro
2600,42,1,1,0,1,Nao,Sim,Sim,Nao,Centro
3400,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro
3500,120,3,2,1,2,Sim,Nao,Nao,Nao,Centro
3520,110,3,2,1,1,Nao,Nao,Sim,Nao,Centro
1600,44,1,1,0,0,Sim,Nao,Nao,Nao,Centro
1300,50,1,1,0,0,Sim,Sim,Nao,Nao,Centro
1100,45,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1750,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro
3100,56,1,2,1,1,Nao,Nao,Sim,Nao,Centro
1650,68,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1617,48,1,1,0,0,Nao,Nao,Nao,Nao,Centro
4500,140,3,2,1,2,Nao,Sim,Sim,Nao,Centro
2800,130,3,1,0,0,Nao,Nao,Nao,Nao,Centro
1000,65,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2000,83,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2500,140,3,1,0,1,Nao,Nao,Nao,Nao,Centro
1200,50,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1250,80,2,1,0,0,Nao,Nao,Nao,Nao,Centro
2900,94,3,2,1,2,Nao,Nao,Sim,Nao,Centro
2500,150,3,1,0,1,Sim,Nao,Nao,Nao,Centro
3000,203,3,2,1,2,Nao,Nao,Nao,Nao,Centro
1450,70,2,1,0,0,Nao,Nao,Nao,Nao,Centro
2200,90,2,1,0,0,Nao,Nao,Nao,Nao,Centro
2500,200,4,2,1,2,Sim,Nao,Nao,Nao,Centro
2500,201,3,2,1,1,Nao,Nao,Nao,Nao,Centro
1300,75,2,1,0,0,Nao,Nao,Nao,Nao,Centro
2000,90,2,1,0,0,Nao,Nao,Nao,Nao,Centro
1300,52,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2500,200,3,2,1,1,Nao,Nao,Nao,Nao,Centro
1900,70,2,1,0,0,Nao,Nao,Nao,Nao,Centro
1500,90,2,1,0,1,Sim,Nao,Nao,Nao,Centro
2500,70,3,2,1,2,Nao,Nao,Sim,Nao,Centro
2400,70,3,2,1,2,Nao,Nao,Sim,Nao,Centro
2600,69,3,2,1,1,Sim,Nao,Nao,Nao,Centro
1500,109,2,1,0,1,Nao,Nao,Nao,Nao,Centro
1600,79,2,1,0,1,Nao,Nao,Nao,Nao,Centro
1700,70,2,1,0,1,Sim,Nao,Nao,Nao,Centro
2500,200,4,2,1,2,Nao,Nao,Nao,Nao,Centro
1800,59,2,2,1,1,Sim,Nao,Nao,Nao,Centro
1700,52,2,1,0,1,Sim,Nao,Sim,Nao,Centro
1500,90,2,1,0,1,Sim,Nao,Nao,Nao,Centro
2200,150,3,2,1,1,Nao,Nao,Nao,Nao,Centro
1650,75,2,1,0,0,Nao,Nao,Nao,Nao,Centro
2500,201,3,2,1,1,Nao,Nao,Nao,Nao,Centro
2500,200,3,2,1,1,Nao,Nao,Nao,Nao,Centro
2400,75,3,2,1,2,Nao,Nao,Sim,Nao,Centro
2500,200,3,2,1,1,Sim,Nao,Nao,Nao,Centro
1600,120,2,1,0,1,Nao,Nao,Nao,Nao,Centro
3200,97,3,3,2,2,Sim,Nao,Sim,Nao,Centro
1839,35,1,1,0,0,Nao,Sim,Nao,Nao,Centro
3000,35,1,2,1,1,Nao,Nao,Sim,Nao,Centro
5500,74,2,2,1,1,Sim,Nao,Sim,Nao,Centro
2500,60,1,2,1,2,Nao,Nao,Sim,Nao,Centro
2200,35,1,1,0,0,Nao,Sim,Nao,Nao,Centro
3100,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro
1850,48,1,1,0,1,Nao,Nao,Nao,Nao,Centro
3300,43,1,1,0,1,Nao,Sim,Sim,Nao,Centro
3200,40,1,1,0,1,Nao,Nao,Sim,Nao,Centro
4000,180,2,2,1,1,Nao,Nao,Nao,Nao,Centro
1600,36,1,2,1,1,Sim,Sim,Sim,Nao,Centro
5000,62,2,2,1,1,Nao,Sim,Sim,Nao,Centro
4500,190,3,5,1,1,Sim,Nao,Nao,Nao,Centro
2600,80,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2200,75,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1000,30,1,1,0,0,Nao,Nao,Nao,Nao,Centro
3900,43,1,1,0,1,Nao,Sim,Sim,Nao,Centro
2100,35,1,1,0,1,Nao,Nao,Sim,Nao,Centro
2500,42,1,1,0,1,Sim,Sim,Sim,Nao,Centro
4500,215,3,3,0,1,Nao,Nao,Nao,Nao,Centro
2500,100,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2300,35,1,1,0,1,Nao,Nao,Sim,Nao,Centro
1800,35,1,2,1,1,Sim,Sim,Sim,Nao,Centro
2400,50,2,1,0,0,Sim,Nao,Nao,Nao,Centro
3000,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro
3900,49,1,2,1,1,Nao,Sim,Sim,Nao,Centro
2800,34,1,1,0,1,Nao,Sim,Sim,Nao,Centro
3100,48,1,1,0,1,Nao,Sim,Sim,Nao,Centro
3000,34,1,1,0,1,Nao,Sim,Sim,Nao,Centro
3300,35,1,1,0,1,Nao,Nao,Sim,Nao,Centro
2900,50,2,1,0,1,Nao,Nao,Sim,Nao,Centro
3600,130,3,1,0,0,Nao,Nao,Nao,Nao,Centro
1700,35,1,1,0,1,Nao,Nao,Nao,Nao,Centro
3700,68,1,1,0,1,Nao,Sim,Nao,Nao,Centro
1400,35,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2150,55,1,1,0,1,Nao,Sim,Nao,Nao,Centro
5000,59,2,1,0,1,Sim,Sim,Sim,Nao,Centro
3500,49,1,1,0,1,Nao,Nao,Sim,Nao,Centro
3600,130,3,2,1,0,Nao,Nao,Nao,Nao,Centro
5000,60,2,2,1,2,Nao,Nao,Sim,Nao,Centro
3200,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro
2000,55,1,1,0,1,Nao,Nao,Sim,Nao,Centro
3200,90,3,2,1,1,Nao,Nao,Nao,Nao,Centro
2100,35,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2000,43,1,1,0,1,Nao,Nao,Sim,Nao,Centro
4000,60,2,1,0,1,Sim,Nao,Sim,Nao,Centro
5000,67,2,1,0,1,Nao,Sim,Sim,Nao,Centro
4200,120,3,2,1,1,Sim,Nao,Nao,Nao,Centro
4400,63,2,3,2,2,Nao,Nao,Sim,Nao,Centro
1900,90,2,1,0,1,Nao,Nao,Nao,Nao,Centro
1900,50,1,1,0,1,Nao,Nao,Sim,Nao,Centro
2700,35,1,1,0,1,Nao,Nao,Sim,Nao,Centro
1800,40,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1400,45,2,1,0,1,Sim,Nao,Nao,Nao,Centro
4000,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro
1700,45,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2500,35,1,2,1,1,Nao,Sim,Sim,Nao,Centro
2200,35,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2450,70,2,1,0,0,Nao,Nao,Nao,Nao,Centro
3000,138,3,3,2,1,Nao,Nao,Nao,Nao,Centro
2000,75,1,2,0,1,Nao,Nao,Nao,Nao,Centro
2900,110,3,2,1,1,Sim,Nao,Nao,Nao,Centro
1400,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1300,60,2,1,0,1,Sim,Nao,Nao,Nao,Centro
1550,60,2,1,0,0,Nao,Nao,Nao,Nao,Centro
1200,50,2,1,0,0,Nao,Nao,Nao,Nao,Centro
2500,137,3,2,1,1,Nao,Nao,Nao,Nao,Centro
1700,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2500,40,1,1,0,1,Nao,Nao,Sim,Nao,Centro
1800,73,3,2,1,2,Sim,Nao,Sim,Nao,Centro
1750,67,2,1,0,1,Nao,Nao,Nao,Nao,Centro
1600,63,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2900,110,3,2,1,1,Sim,Nao,Nao,Nao,Centro
1700,65,2,1,0,0,Nao,Nao,Nao,Nao,Centro
1700,41,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2800,170,3,2,1,1,Nao,Nao,Nao,Nao,Centro
2500,49,1,1,0,1,Nao,Sim,Sim,Nao,Centro
2000,55,1,1,0,1,Sim,Nao,Nao,Nao,Centro
1500,60,1,1,0,1,Sim,Nao,Nao,Nao,Centro
1650,35,1,1,0,1,Nao,Sim,Sim,Nao,Centro
3800,170,3,1,0,2,Nao,Nao,Nao,Nao,Centro
2800,130,3,2,1,2,Nao,Nao,Nao,Nao,Centro
1700,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro
3900,110,3,2,1,2,Sim,Nao,Nao,Nao,Centro
1400,38,1,1,0,0,Nao,Nao,Nao,Nao,Centro
5000,200,3,4,3,2,Nao,Nao,Nao,Nao,Centro
2220,100,3,1,0,1,Nao,Nao,Nao,Nao,Centro
1500,60,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2700,36,1,1,0,1,Sim,Nao,Nao,Nao,Centro
1200,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1600,40,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1900,48,1,1,0,1,Sim,Sim,Sim,Nao,Centro
2700,36,1,1,0,1,Sim,Nao,Nao,Nao,Centro
1500,45,1,1,0,0,Nao,Sim,Nao,Nao,Centro
1600,45,1,1,0,1,Nao,Nao,Sim,Nao,Centro
1100,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro
3000,162,2,1,0,2,Nao,Nao,Nao,Nao,Centro
1600,86,3,2,1,1,Nao,Nao,Sim,Nao,Centro
1200,50,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1800,43,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1600,70,2,1,0,0,Sim,Nao,Nao,Nao,Centro
2300,100,3,1,0,1,Sim,Nao,Nao,Nao,Centro
5000,76,2,1,0,1,Nao,Sim,Nao,Nao,Centro
3500,70,2,1,0,1,Sim,Nao,Sim,Nao,Centro
1400,45,1,1,0,1,Nao,Sim,Nao,Nao,Centro
2200,72,1,2,0,1,Nao,Nao,Nao,Nao,Centro
2050,44,1,2,1,1,Nao,Nao,Sim,Nao,Centro
4900,125,3,3,1,3,Sim,Sim,Sim,Nao,Centro
1700,45,2,1,0,1,Sim,Sim,Sim,Nao,Centro
3500,80,2,2,0,1,Nao,Nao,Nao,Nao,Centro
2450,60,2,2,1,1,Nao,Sim,Nao,Nao,Centro
1500,80,2,1,0,1,Nao,Nao,Nao,Nao,Centro
1500,45,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1600,55,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1300,48,1,1,0,0,Nao,Nao,Nao,Nao,Centro
3300,130,2,1,0,2,Nao,Sim,Nao,Nao,Centro
5200,76,3,2,1,1,Nao,Sim,Nao,Nao,Centro
1400,32,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1480,50,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1700,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro
3000,149,2,1,0,0,Sim,Nao,Nao,Nao,Centro
3000,154,2,2,1,1,Sim,Nao,Nao,Nao,Centro
2000,74,2,1,0,0,Sim,Nao,Nao,Nao,Centro
2600,83,2,1,0,0,Nao,Nao,Sim,Nao,Centro
1800,69,3,1,0,1,Sim,Nao,Nao,Nao,Centro
2100,56,1,1,0,0,Nao,Nao,Sim,Nao,Centro
1400,80,2,1,0,0,Nao,Nao,Nao,Nao,Centro
3800,173,3,2,1,0,Sim,Nao,Nao,Nao,Centro
1700,48,1,2,1,1,Nao,Sim,Nao,Nao,Centro
1700,41,1,2,1,1,Sim,Nao,Sim,Nao,Centro
2500,44,1,2,1,1,Nao,Nao,Nao,Nao,Centro
2000,54,2,1,0,1,Nao,Nao,Sim,Nao,Centro
1100,41,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1100,41,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1200,40,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2500,56,2,1,0,1,Sim,Nao,Nao,Nao,Centro
4000,41,1,1,0,1,Nao,Nao,Sim,Nao,Centro
2500,41,1,1,0,1,Nao,Sim,Sim,Nao,Centro
1200,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1300,61,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1550,65,2,1,0,0,Nao,Nao,Nao,Nao,Centro
2000,41,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2000,33,1,1,0,1,Nao,Sim,Nao,Nao,Centro
1850,41,1,1,0,1,Sim,Nao,Sim,Nao,Centro
1300,48,2,1,0,0,Nao,Nao,Nao,Nao,Centro
1000,39,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1000,39,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2800,140,2,2,0,1,Nao,Nao,Nao,Nao,Centro
2500,30,1,2,1,1,Sim,Sim,Sim,Nao,Centro
2200,40,1,1,0,1,Sim,Nao,Nao,Nao,Centro
2800,120,2,1,0,1,Nao,Nao,Nao,Nao,Centro
1600,41,1,1,0,1,Nao,Nao,Sim,Nao,Centro
1250,41,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2500,48,1,1,0,1,Sim,Sim,Sim,Nao,Centro
800,38,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1100,38,1,1,0,0,Nao,Nao,Nao,Nao,Centro
4000,190,3,2,1,2,Nao,Nao,Nao,Nao,Centro
2800,60,2,1,0,1,Nao,Sim,Sim,Nao,Centro
2200,75,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2500,84,3,2,1,1,Nao,Nao,Nao,Nao,Centro
1700,40,1,2,1,1,Sim,Nao,Sim,Nao,Centro
2750,36,1,1,0,1,Nao,Nao,Sim,Nao,Centro
2500,105,3,2,1,0,Nao,Nao,Nao,Nao,Centro
4000,120,1,1,0,1,Nao,Sim,Nao,Nao,Centro
1600,64,1,1,0,0,Nao,Sim,Nao,Nao,Centro
1690,60,1,1,0,1,Nao,Sim,Nao,Nao,Centro
3320,73,2,3,2,1,Nao,Sim,Sim,Nao,Centro
1300,40,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2600,70,2,1,0,0,Nao,Sim,Nao,Nao,Centro
2700,42,1,2,1,1,Nao,Nao,Sim,Nao,Centro
1650,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1700,62,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2700,42,1,2,1,0,Nao,Nao,Sim,Nao,Centro
2250,63,1,2,1,1,Nao,Nao,Sim,Nao,Centro
4000,126,3,2,1,2,Nao,Nao,Nao,Nao,Centro
4000,168,3,2,1,1,Nao,Nao,Nao,Nao,Centro
2600,64,1,1,0,0,Nao,Sim,Nao,Nao,Centro
1500,52,1,2,1,0,Nao,Nao,Sim,Nao,Centro
2990,64,1,1,0,0,Nao,Sim,Nao,Nao,Centro
2300,45,1,1,0,1,Sim,Sim,Sim,Nao,Centro
2000,42,1,1,0,1,Nao,Nao,Nao,Nao,Centro
3200,60,2,2,1,2,Sim,Nao,Sim,Nao,Centro
1550,60,1,1,0,0,Nao,Nao,Nao,Nao,Centro
3000,89,3,2,1,2,Nao,Nao,Nao,Nao,Centro
2800,50,2,2,1,1,Nao,Nao,Nao,Nao,Centro
5000,194,4,2,1,3,Nao,Nao,Nao,Nao,Centro
1300,32,1,1,0,0,Nao,Nao,Nao,Nao,Centro
3500,62,1,1,0,1,Nao,Sim,Sim,Nao,Centro
5000,196,2,2,0,1,Sim,Nao,Nao,Nao,Centro
3800,135,3,2,1,2,Nao,Nao,Nao,Nao,Centro
2250,95,3,2,1,2,Sim,Nao,Sim,Nao,Centro
1600,40,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1800,55,1,2,1,1,Nao,Nao,Nao,Nao,Centro
4500,144,3,2,1,1,Nao,Sim,Nao,Nao,Centro
4800,127,3,1,0,4,Nao,Sim,Nao,Nao,Centro
2600,36,1,1,0,1,Nao,Nao,Sim,Nao,Centro
2700,42,1,2,1,1,Nao,Nao,Nao,Nao,Centro
1500,40,1,1,0,1,Nao,Nao,Sim,Nao,Centro
2500,90,3,2,1,2,Nao,Nao,Nao,Nao,Centro
1400,50,1,1,0,1,Nao,Sim,Nao,Nao,Centro
1000,50,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1000,80,2,1,0,0,Sim,Nao,Nao,Nao,Centro
1200,62,2,1,0,0,Nao,Nao,Nao,Nao,Centro
1400,84,2,1,0,1,Nao,Nao,Nao,Nao,Centro
1500,45,1,1,0,0,Nao,Sim,Nao,Nao,Centro
1290,45,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1500,33,1,1,0,1,Nao,Nao,Nao,Nao,Centro
850,45,1,1,0,0,Nao,Nao,Nao,Nao,Centro
1750,56,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2200,90,3,2,1,1,Nao,Nao,Nao,Nao,Centro
4000,160,3,4,3,3,Nao,Nao,Sim,Nao,Centro
1250,37,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2500,91,3,1,0,2,Nao,Nao,Sim,Nao,Centro
940,45,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2800,65,2,1,0,1,Nao,Nao,Sim,Nao,Centro
1450,50,2,2,1,1,Nao,Nao,Nao,Nao,Centro
2800,65,2,1,0,1,Nao,Nao,Sim,Nao,Centro
1300,55,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2000,60,3,2,0,0,Nao,Nao,Nao,Nao,Centro
1700,50,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1600,72,2,1,0,1,Nao,Nao,Nao,Nao,Centro
1200,39,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2000,60,2,1,0,1,Nao,Nao,Sim,Nao,Centro
1450,50,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2500,120,3,2,1,2,Nao,Nao,Sim,Nao,Centro
1800,45,1,1,0,1,Nao,Nao,Sim,Nao,Centro
1600,70,2,1,0,1,Nao,Nao,Nao,Nao,Centro
1400,60,1,1,0,0,Nao,Nao,Nao,Nao,Centro
2700,78,2,2,1,2,Nao,Nao,Sim,Nao,Centro
2500,54,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2500,53,2,1,0,1,Nao,Nao,Sim,Nao,Centro
1500,50,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2500,110,3,2,1,2,Nao,Nao,Sim,Nao,Centro
1400,34,1,1,0,1,Nao,Nao,Nao,Nao,Centro
1800,74,2,1,0,2,Nao,Nao,Nao,Nao,Centro
1900,68,2,1,0,1,Nao,Nao,Nao,Nao,Centro
1600,80,2,1,0,1,Sim,Nao,Nao,Nao,Centro
1100,37,1,1,0,1,Nao,Nao,Nao,Nao,Centro
2600,80,2,2,1,2,Nao,Sim,Nao,Nao,Centro
4000,80,3,2,1,2,Nao,Nao,Nao,Nao,Centro
1500,48,1,1,0,0,Nao,Nao,Nao,Nao,Centro
630,45,1,1,0,0,Sim,Nao,Nao,Nao,Centro
1800,85,2,2,1,1,Nao,Nao,Sim,Nao,Centro
2000,63,2,2,1,2,Nao,Nao,Sim,Nao,Centro
1800,63,2,2,1,2,Nao,Nao,Sim,Nao,Centro
4000,80,1,1,0,0,Nao,Sim,Nao,Nao,Centro
1200,51,1,1,0,1,Nao,Nao,Nao,Nao,Centro
4000,79,2,2,1,2,Sim,Nao,Sim,Nao,Centro
1600,80,2,1,0,1,Nao,Nao,Nao,Nao,Centro
2500,53,2,1,0,1,Nao,Nao,Sim,Nao,Centro
1690,56,1,1,0,1,Sim,Nao,Nao,Nao,Centro
1600,80,2,1,0,1,Nao,Nao,Nao,Nao,Centro
4000,80,2,2,1,2,Nao,Nao,Sim,Nao,Centro
1350,32,1,1,0,0,Sim,Nao,Nao,Nao,Centro
2100,64,2,2,1,1,Nao,Nao,Sim,Nao,Centro
